KODE;NORSK_BRUKSNAVN;SEKUNDAERT_FAGOMRAADE;FAGOMRAADE_NLK;REFUSJONSKATEGORI;REFUSJON_stat;REFUSJON_privat;STJERNEKODE;REFUSJONSKATEGORI_ENDRET
NOR15235;P-C18-OH-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15236;P-C4-OH-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15237;P-C5-OH-karnitin;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR15245;Nyre-estimert GFR (overfl.=1,73m2);;Medisinsk biokjemi;MB0;0,5;0,48;1;
NOR15249;P-Osmolalt gap;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB8 til MB0
NOR15259;Us-Mikroskopi (liste);Medisinsk mikrobiologi;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR15260;U-Albumin/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;1;
NOR15263;U-Protein/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;1;
NOR15273;P-Transferrin-mønster;;Medisinsk biokjemi;MB10;133,86;124,13;0;MB7 til MB10
NOR15277;B-PFA lukketid-ADP;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR15289;P-pH;;Medisinsk biokjemi;MB5;17,01;15,75;0;
NOR15290;P-HCO3 (bikarbonat), aktuell;;Medisinsk biokjemi;MB5;17,01;15,75;0;
NOR15295;Us-Beta-2-mikroglobulin;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB0 til MB8
NOR15301;U-Oksalat/Kreatinin;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25034;Pt-Elektronmikroskopisk undersøkelse;;Patologi;;0;0;0;
NOR25036;B-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25037;Dv-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25038;Ery(B)-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25039;Hår-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25040;Us-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25041;Lkc-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25042;P-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25043;Sp-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25044;Spytt-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25045;Sv-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25046;U-Annen spesifisert analyse (farmakologi);;Klinisk farmakologi;KF10;1330,66;1316,55;0;
NOR25047;Pt-Frysesnitt;;Patologi;;0;0;0;
NOR25048;Pt-Histologisk undersøkelse;;Patologi;;0;0;0;
NOR25071;Us-Bakterier mikroskopi;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NOR25072;F-Parasitter mikroskopi;;Medisinsk mikrobiologi;MM6;191,67;183,3;0;
NOR25073;Us-Parasitter mikroskopi;;Medisinsk mikrobiologi;MM6;191,67;183,3;0;
NOR25074;B-Parasitter mikroskopi;;Medisinsk mikrobiologi;MM6;191,67;183,3;0;
NOR25075;U-Parasitter mikroskopi;;Medisinsk mikrobiologi;MM6;191,67;183,3;0;
NOR25076;Us-Sopp mikroskopi;;Medisinsk mikrobiologi;MM3;50,9;48,69;0;
NOR25077;Hår-Sopp mikroskopi;;Medisinsk mikrobiologi;MM0;0,88;0,84;0;
NOR25275;P-Meningokokk antigen (gr. A/C/Y/W135);;Medisinsk mikrobiologi;MM4;78,44;75,02;0;
NOR25369;U-Bilirubin;;Medisinsk biokjemi;MB1;5,16;4,77;0;
NOR25413;P-Trombocyttantistoff screening;;Immunologi og transfusjonsmedisin;IT9;1146,94;1140,12;0;
NOR25420;RNA-Ekspresjonsprofilering;;Medisinsk genetikk;MG5;2724,87;0;0;
NOR25437;DNA-Sangersekvensering, enkeltgen;;Medisinsk genetikk;MG5;2724,87;0;0;
NOR25438;DNA-Sangersekvensering, eksoner;;Medisinsk genetikk;MG1;165,96;0;0;
NOR25440;DNA-Sangersekvensering, variant;;Medisinsk genetikk;MG3;560,13;0;0;
NOR25441;DNA-Analysepakke DNA-sekvensvarianter;;Medisinsk genetikk;MG5;2724,87;0;0;
NOR25442;DNA-Haplotyping;;Medisinsk genetikk;MG5;2724,87;0;0;
NOR25463;DNA-Kopitallsanalyse gen, MLPA;;Medisinsk genetikk;MG4;1174,96;0;0;
NOR25464;Ce-Kromosomalt rearrangement, FISH;;Medisinsk genetikk;MG5;2724,87;0;0;
NOR25465;Ce-Mikroskopisk-karyotyping;;Medisinsk genetikk;MG4;1174,96;0;0;
NOR25466;B-Mikroskopisk-karyotyping;;Medisinsk genetikk;MG4;1174,96;0;0;
NOR25467;Ce-Mikroskopisk-karyotyping, kreftceller;;Medisinsk genetikk;MG6;7438,63;0;0;
NOR25507;DNA-Metyleringstest, metyleringssensitiv MLPA;;Medisinsk genetikk;MG5;2724,87;0;0;
NOR25524;Pt-Cytologisk undersøkelse;;Patologi;;0;0;0;
NOR25532;Pt-Flowcytometrisk undersøkelse;;Patologi;;0;0;0;
NOR25583;Us-Eosinofile granulocytter;;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR25584;B-Atypiske celler;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25585;B-Basofile granulocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25586;Us-Blastceller (uspesifisert);;Medisinsk biokjemi;MB9;82,39;76,4;0;
NOR25587;B-Eosinofile granulocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25588;B-Erytroblaster (basofile);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25589;B-Erytroblaster (ortokrome);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25590;B-Erytroblaster (polykrome);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25591;B-Erytroblaster;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25592;B-Granulocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25593;B-Leukoblaster;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25594;B-Leukocytter (Auer legemer);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25595;B-Leukocytter (Pelger-Huët);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25596;B-Leukocytter (uspesifisert);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25597;B-Lymfoblaster;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25598;B-Lymfocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25599;B-Megaloblaster;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25600;B-Metamyelocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25601;B-Monocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25602;B-Myeloblaster;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25603;B-Myelocytter (eosinofile);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25604;B-Myelocytter (nøytrofile);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25605;B-Myelocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25607;B-Plasmaceller;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25608;B-Promyelocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25609;B-Store ufarvede celler;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25613;S-Natrium;;Medisinsk biokjemi;MB1;5,16;4,77;1;
NOR25614;S-Kalium;;Medisinsk biokjemi;MB1;5,16;4,77;1;
NOR25615;S-Fosfat;;Medisinsk biokjemi;MB1;5,16;4,77;1;MB3 til MB1
NOR25616;S-Glukose;;Medisinsk biokjemi;MB1;5,16;4,77;1;MB3 til MB1
NOR25617;S-Protein, total;;Medisinsk biokjemi;MB3;9,53;8,81;1;
NOR25618;U-Buprenorfin (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25619;U-Dekstropropoksyfen (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;KF9 til KF2
NOR25620;U-6-Monoacetylmorfin (6-MAM) (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25621;U-Metadon (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25622;U-Etylidendimetyldifenylpyrrolidin (EDDP) (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25623;U-Oksykodon (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25624;U-Etanol (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25625;U-Etylglukuronid (EtG) (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25626;U-Englestøv (PCP) (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25627;U-Syntetiske cannabinoider (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25628;U-Gammahydroksysmørsyre (GHB) (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25629;U-Lysergsyredietylamid (LSD) (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25630;B-Nøytrofile granulocytter (segmentkjernede);;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25631;B-Nøytrofile granulocytter;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25632;Us-Nøytrofile granulocytter;;Medisinsk biokjemi;MB10;133,86;124,13;0;
NOR25633;U-Ecstasy (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25635;P-Borrelia C6 peptid IgG+IgM;;Medisinsk mikrobiologi;MM4;78,44;75,02;0;
NOR25636;Us-ESBL M AmpC;;Medisinsk mikrobiologi;MM6;191,67;183,3;0;
NOR25639;B-Laktatgap;;Medisinsk biokjemi;MB8;57,76;53,57;0;
NOR25640;B-BAT (basofil aktiveringstest);;Medisinsk biokjemi;MB11;225,07;208,71;0;
NOR25641;Konkr-Konkrementbestanddeler;;Medisinsk biokjemi;MB0;0,5;0,48;0;
NOR25662;B-Retikulocytter;;Medisinsk biokjemi;MB5;17,01;15,75;0;
NOR25669;Us-Rhinovirus RNA;;Medisinsk mikrobiologi;MM6;191,67;183,3;0;
NOR25674;P-Osmolaritet;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB5 til MB8
NOR25675;U-Osmolaritet;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB5 til MB8
NOR25685;U-Hemoglobin;;Medisinsk biokjemi;MB6;23,18;21,5;0;MB0 til MB6
NOR25686;Plv-Hemoglobin;;Medisinsk biokjemi;MB6;23,18;21,5;0;MB0 til MB6
NOR25689;P-Osmolalitet;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB5 til MB8
NOR25690;U-Osmolalitet;;Medisinsk biokjemi;MB8;57,76;53,57;0;MB5 til MB8
NOR25691;P-Mitokondrie (M2+BCOADC-E2) IgG;;Immunologi og transfusjonsmedisin;IT3;45,18;44,91;0;IT2 til IT3
NOR25692;P-Troponin T (4.gen.);;Medisinsk biokjemi;MB6;23,18;21,5;0;
NOR25697;Us-Anaerob anriket dyrkning;;Medisinsk mikrobiologi;MM5;125,77;120,3;0;
NOR25698;Us-Anaerob anriket dyrkning;;Medisinsk mikrobiologi;MM5;125,77;120,3;0;
NOR25699;Us-Aerob anriket dyrkning;;Medisinsk mikrobiologi;MM4;78,44;75,02;0;
NOR25700;Us-Aerob anriket dyrkning;;Medisinsk mikrobiologi;MM4;78,44;75,02;0;
NOR25701;U-Pregabalin (uspesifikk);;Klinisk farmakologi;KF2;22,68;22,44;0;
NOR25702;P-PSA-fri fraksjon;;Medisinsk biokjemi;MB0;0,5;0,48;0;MB7 til MB0
NOR25703;Sp-Borrelia C6 peptid IgG+IgM;;Medisinsk mikrobiologi;MM4;78,44;75,02;0;
NOR25704;B-Immunfenotyping blodceller (liste);;Immunologi og transfusjonsmedisin;IT0;0,93;0,91;0;
NOR25705;B-Immunfenotyping cellerekke;;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25706;B-Immunfenotyping myeloide (NOPHO-12);;Immunologi og transfusjonsmedisin;IT11;6535,7;6548,76;0;IT9 til IT11
NOR25707;B-Immunfenotyping myeloide MRD (NOPHO-12);;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25708;B-Immunfenotyping B lymfocytt (NOPHO-08);;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25709;B-Immunfenotyping B lymfocytt MRD (NOPHO-08);;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25710;B-Immunfenotyping T lymfocytt (NOPHO-08);;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25711;B-Immunfenotyping T lymfocytt MRD (NOPHO-08);;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25712;B-Immunfenotyping blodcelle MRD (uspes.);;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25713;B-Immunfenotyping blodceller screen;;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25714;B-Immunfenotyping blodceller uspes.;;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25715;B-Immunfenotyping lymfocytter screen;;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25716;B-Immunfenotyping myeloide;;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25717;B-Immunfenotyping umodne T lymfocytter;;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
NOR25718;B-Immunfenotyping umodne B lymfocytter;;Immunologi og transfusjonsmedisin;IT10;4545,63;4554,71;0;IT9 til IT10
