ICD10;Tekst
A152;Lungetuberkulose, histologisk bekreftet
A153;Lungetuberkulose, bekreftet på ikke angitt måte
A154;Tbc i intratorakale lymfekn., bakt. og histologisk bekr.
A155;Tbc i str.hode/glottis/luftrør/bronkie, bakt. og hist. bekr.
A156;Tuberkuløs pleuritt, bakteriologisk og histologisk bekreftet
A157;Primær tbc i å.dr.org., bakteriologisk og histologisk bekr.
A158;Annen spes. tbc i å.dr.org., bakt. og histologisk bekreftet
A159;Uspesifisert tbc i å.dr.org., bakt. og histologisk bekreftet
A160;Lungetuberkulose, bakteriologisk og histologisk negativ
A161;Lungetbc, bakt. og histologisk undersøkelse ikke utført
A162;Lungetbc, bakt. eller histologisk bekreftelse ikke nevnt
A163;Tbc i intrator. lymfekn., bakt. el. hist. bekr. ikke nevnt
A164;Tbc i str.hode/luftr./bronkie, bakt. el. hist. bekr. ikke n.
A165;Tuberk. pleuritt, bakt. el. hist. bekreftelse ikke nevnt
A167;Primær tbc i å.dr.org., bakt. el. hist. bekr. ikke nevnt
A168;A. spes. tbc i å.dr.org., bakt. el. hist. bekr. ikke nevnt
A169;Uspes. tbc i å.dr.org., bakt. el. hist. bekr. ikke nevnt
A170;Tuberkuløs meningitt
A171;Meningealt tuberkulom
A178;Annen spesifisert tuberkulose i nervesystemet
A179;Uspesifisert tuberkulose i nervesystemet
A180;Tuberkulose i ben og ledd
A181;Tuberkulose i urin- og kjønnsorganer
A182;Tuberkuløs sykdom i perifere lymfeknuter
A183;Tuberkulose i tarmer, bukhinne og lymfeknuter i mesenterium
A184;Tuberkulose i hud og underhudsvev
A185;Tuberkulose i øye
A186;Tuberkulose i øre
A187;Tuberkulose i binyrer
A188;Tuberkulose i andre spesifiserte organer
A190;Akutt miliærtuberkulose, én enkelt spesifisert lokalisasjon
A191;Akutt miliærtuberkulose, flere lokalisasjoner
A192;Uspesifisert akutt miliærtuberkulose
A198;Annen spesifisert miliærtuberkulose
A199;Uspesifisert miliærtuberkulose
A200;Bubonpest
A201;Hudpest
A202;Lungepest
A203;Pestmeningitt
A207;Sepsispest
A208;Annen spesifisert pest
A209;Uspesifisert pest
A210;Ulceroglandulær tularemi
A211;Okuloglandulær tularemi
A212;Pulmonal tularemi
A213;Gastrointestinal tularemi
A217;Generalisert tularemi
A218;Annen spesifisert tularemi
A219;Uspesifisert tularemi
A220;Hudmiltbrann
A221;Lungemiltbrann
A222;Gastrointestinal miltbrann
A227;Miltbrannsepsis
A228;Annen spesifisert miltbrann
A229;Uspesifisert miltbrann
A230;Brucellose som skyldes Brucella melitensis
A231;Brucellose som skyldes Brucella abortus
A232;Brucellose som skyldes Brucella suis
A233;Brucellose som skyldes Brucella canis
A238;Annen spesifisert brucellose
A239;Uspesifisert brucellose
A240;Snive
A241;Akutt og fulminant melioidose
A242;Subakutt og kronisk melioidose
A243;Annen melioidose
A244;Uspesifisert melioidose
A250;Spirillose
A251;Streptobasillose
A259;Uspesifisert rottebittfeber
A260;Kutan erysipeloid
A267;Sepsis som skyldes Erysipelothrix
A268;Annen spesifisert erysipeloid
A269;Uspesifisert erysipeloid
A270;Leptospirosis icterohaemorrhagica
A278;Annen spesifisert leptospirose
A279;Uspesifisert leptospirose
A280;Pasteurellose
A281;Katteklorfeber
A282;Ekstraintestinal yersiniose
A288;Andre spesifiserte bakterielle zoonoser IKAS
A289;Uspesifisert bakteriell zoonose
A300;Ubestemt lepra
A301;Tuberkuloid lepra
A302;Tuberkuloid lepra av grensetype
A303;Lepra av grensetype
A304;Lepromatøs lepra av grensetype
A305;Lepromatøs lepra
A308;Annen spesifisert lepra
A309;Uspesifisert lepra
A310;Mykobakteriell lungeinfeksjon
A311;Mykobakteriell hudinfeksjon
A318;Andre spesifiserte infeksjoner som skyldes mykobakterier
A319;Uspesifisert infeksjon som skyldes mykobakterier
A320;Hudlisteriose
A321;Meningitt og meningoencefalitt som skyldes Listeria
A327;Listeriasepsis
A328;Annen spesifisert listeriose
A329;Uspesifisert listeriose
A33;Stivkrampe hos nyfødt
A34;Stivkrampe etter fødsel
A35;Annen stivkrampe
A360;Svelgdifteri
A361;Difteri i nasopharynx
A362;Larynksdifteri
A363;Kutan difteri
A368;Annen spesifisert difteri
A369;Uspesifisert difteri
A370;Kikhoste som skyldes Bordetella pertussis
A371;Kikhoste som skyldes Bordetella parapertussis
A378;Kikhoste som skyldes andre spesifiserte bordetella-arter
A379;Uspesifisert kikhoste
A38;Skarlagensfeber
A390;Meningokokkmeningitt
A391;Waterhouse-Friderichsens syndrom
A392;Akutt meningokokkemi
A393;Kronisk meningokokkemi
A394;Uspesifisert meningokokkemi
A395;Hjertesykdom forårsaket av Meningococcus
A398;Andre spesifiserte meningokokkinfeksjoner
A399;Uspesifisert meningokokkinfeksjon
A400;Sepsis som skyldes Streptococcus, serogruppe A
A401;Sepsis som skyldes Streptococcus, serogruppe B
A402;Sepsis som skyldes Streptococcus, serogr. D og enterococcus
A403;Sepsis som skyldes Streptococcus pneumoniae
A408;Annen spesifisert streptokokksepsis
A409;Uspesifisert streptokokksepsis
A410;Sepsis som skyldes Staphylococcus aureus
A411;Sepsis som skyldes andre spesifiserte stafylokokker
A412;Sepsis som skyldes uspesifiserte stafylokokker
A413;Sepsis som skyldes Haemophilus influenzae
A414;Sepsis som skyldes anaerobe bakterier
A415;Sepsis som skyldes andre gram-negative organismer
A418;Annen spesifisert sepsis
A419;Uspesifisert sepsis
A420;Pulmonal aktinomykose
A421;Abdominal aktinomykose
A422;Cervikofacial aktinomykose
A427;Aktinomykotisk sepsis
A428;Annen spesifisert aktinomykose
A429;Uspesifisert aktinomykose
A430;Pulmonal nokardiose
A431;Kutan nokardiose
A438;Annen spesifisert nokardiose
A439;Uspesifisert nokardiose
A440;Systemisk bartonellose
A441;Kutan og mukokutan bartonellose
A448;Annen spesifisert bartonellose
A449;Uspesifisert bartonellose
A46;Erysipelas
A480;Gassgangren
A481;Legionærsykdom
A482;Legionærsykdom uten pneumoni
A483;Toksisk sjokksyndrom
A484;Brasiliansk purpura fulminans
A488;Andre spesifiserte bakteriesykdommer
A490;Stafylokokkinfeksjon med uspesifisert lokalisasjon
A491;Streptokokk- el. enterokokkinfeksjon m/uspesifisert lok
A492;Infeksjon med uspes. lok. som skyldes Haemophilus influenzae
A493;Mykoplasmainfeksjon med uspesifisert lokalisasjon
A498;Andre bakterieinfeksjoner med uspesifisert lokalisasjon
A499;Uspesifisert bakterieinfeksjon
A500;Tidlig medfødt syfilis, symptomgivende
A501;Tidlig medfødt syfilis, latent
A502;Tidlig medfødt syfilis, uspesifisert
A503;Øyesykdom ved sen medfødt syfilis
A504;Medfødt nevrosyfilis
A505;Annen sen medfødt syfilis med symptomer eller stigmata
A506;Sen medfødt syfilis, latent
A507;Sen medfødt syfilis, uspesifisert
A509;Uspesifisert medfødt syfilis
A510;Primær genital syfilis
A511;Primær anal syfilis
A512;Primær syfilis med annen lokalisasjon
A513;Sekundær syfilis i hud og slimhinner
A514;Annen sekundær syfilis
A515;Tidlig latent syfilis
A519;Uspesifisert tidlig syfilis
A520;Kardiovaskulær syfilis
A521;Symptomgivende nevrosyfilis
A522;Asymptomatisk nevrosyfilis
A523;Uspesifisert nevrosyfilis
A527;Annen symptomgivende sensyfilis
A528;Latent sensyfilis
A529;Uspesifisert sensyfilis
A530;Latent syfilis, der debuttidspunkt ikke er spesifisert
A539;Uspesifisert syfilis
A540;Gc-inf., n. urog.syst. u. periur. absc. el. absc. till. kj.
A541;Gc-infek., n. urog.syst. m. periur. absc. og absc. till. kj.
A542;Gc-pelviperitonitt og andre gc.infek i kj.org. og u.veier
A543;Gonokokkinfeksjon i øye
A544;Gonokokkinfeksjon i muskel-skjelettsystem
A545;Gonokokkfaryngitt
A546;Gonokokkinfeksjon i endetarmsåpning og endetarm
A548;Andre spesifiserte gonokokkinfeksjoner
A549;Uspesifisert gonokokkinfeksjon
A55;Klamydialymfogranulom
A560;Klamydiainfeksjon i nedre urogenitalsystem
A561;Klamydiainfeksjon i u.- og kjønnsorganer el. pelviperitoneum
A562;Uspesifisert klamydiainfeksjon i kjønnsorganer og urinveier
A563;Klamydiainfeksjon i endetarmsåpning, analkanal og endetarm
A564;Klamydiainfeksjon i svelg
A568;Seksuelt overført klamydiainfeksjon med annen spes. lok.
A57;Bløt sjanker
A58;Granuloma inguinale
A590;Urogenital trikomonasinfeksjon
A598;Trikomonasinfeksjon med annen spesifisert lokalisasjon
A599;Uspesifisert trikomonasinfeksjon
A600;Herpesvirusinfeksjon i kjønnsorganer og urinveier
A601;Herpesv.infek. i hud omkring e.tarmåpn., analk. og endetarm
A609;Uspesifisert anogenital herpesvirusinfeksjon
A630;Anogenitale (veneriske) vorter
A638;Andre spesifiserte hovedsakelig seksuelt overførbare sykd.
A64;Uspesifiserte seksuelt overførbare sykdommer
A65;Ikke-venerisk syfilis
A660;"Primære lesjoner ved ""yaws"""
A661;"Multiple papillomer og ""wet crab yaws"""
A662;"Andre tidlige hudlesjoner ved ""yaws"""
A663;"Hyperkeratose ved ""yaws"""
A664;"Gumma og ulcus ved ""yaws"""
A665;Gangosa
A666;"Knokkel- og leddlesjoner ved ""yaws"""
A667;"Andre manifestasjoner ved ""yaws"""
A668;"Latent ""yaws"""
A669;"Uspesifisert ""yaws"""
A670;Primære lesjoner ved pinta
A671;Intermediære lesjoner ved pinta
A672;Sene lesjoner ved pinta
A673;Blandede lesjoner ved pinta
A679;Uspesifisert pinta
A680;Tilbakefallsfeber overført ved lus
A681;Tilbakefallsfeber overført ved flått
A689;Uspesifisert tilbakefallsfeber
A690;Nekrotiserende ulcerøs stomatitt
A691;Andre Vincent-infeksjoner
A692;Borreliose
A698;Andre spesifiserte spiroketinfeksjoner
A699;Uspesifisert spiroketinfeksjon
A70;Chlamydia psittaci-infeksjon
A710;Tidlig stadium av trakom
A711;Aktivt stadium av trakom
A719;Uspesifisert trakom
A740;Klamydiakonjunktivitt
A748;Andre spesifiserte klamydiasykdommer
A749;Uspesifisert klamydiainfeksjon
A750;Epid. flekktyfus s.sk. Rickettsia prowazekii, overf. v. lus
A751;Flekktyfus med gjenoppblussing
A752;Flekktyfus som skyldes Rickettsia typhi
A753;Flekktyfus som skyldes Rickettsia tsutsugamushi
A759;Uspesifisert flekktyfus
A770;Flekkfeber som skyldes Rickettsia rickettsii
A771;Flekkfeber som skyldes Rickettsia conorii
A772;Flekkfeber som skyldes Rickettsia siberica
A773;Flekkfeber som skyldes Rickettsia australis
A778;Annen spesifisert flekkfeber
A779;Uspesifisert flekkfeber
A78;Q-feber
A790;Skyttergravsfeber
A791;Rickettsiainfeksjoner som skyldes Rickettsia akarii
A798;Andre spesifiserte rickettsioser
A799;Uspesifisert rickettsiose
A800;Akutt poliomyelitt med lammelse forårsaket av vaksine
A801;Akutt polio m. lammelse forårs. av imp. ville virusstammer
A802;Akutt polio m. lammelse forårs. av ikke-imp. ville v.stammer
A803;Annen og uspesifisert akutt poliomyelitt med lammelse
A804;Akutt poliomyelitt uten lammelse
A809;Uspesifisert akutt poliomyelitt
A810;Creutzfeldt-Jakobs sykdom
A811;Subakutt skleroserende panencefalitt
A812;Progressiv multifokal leukoencefalopati
A818;Andre spesifiserte atypiske virusinfeksjoner i CNS
A819;Uspesifisert atypisk virusinfeksjon i sentralnervesystemet
A820;Sylvatisk rabies
A821;Urban rabies
A829;Uspesifisert rabies
A830;Japansk encefalitt
A831;Vestlig heste-encefalitt
A832;Østlig heste-encefalitt
A833;St Louis-encefalitt
A834;Australsk encefalitt
A835;Californisk encefalitt
A836;Rociovirussykdom
A838;Annen spesifisert virusencefalitt overført ved mygg
A839;Uspesifisert virusencefalitt overført ved mygg
A840;Orientalsk encefalitt overført ved flått [RSSE]
A841;Sentraleuropeisk encefalitt overført ved flått
A848;Annen spesifisert virusencefalitt overført ved flått
A849;Uspesifisert virusencefalitt overført ved flått
A850;Enterovirusencefalitt
A851;Adenovirusencefalitt
A852;Uspesifisert virusencefalitt overført ved artropoder
A858;Annen spesifisert virusencefalitt
A86;Uspesifisert virusencefalitt
A870;Enterovirusmeningitt
A871;Adenovirusmeningitt
A872;Lymfocyttisk choriomeningitt
A878;Annen spesifisert virusmeningitt
A879;Uspesifisert virusmeningitt
A880;Enteroviral exsanthema og feber
A881;Smittsom svimmelhet
A888;Annen spesifisert virusinfeksjon i sentralnervesystemet
A89;Uspesifisert virusinfeksjon i sentralnervesystemet
A920;Chikungunyavirussykdom
A921;O'nyong-nyongfeber
A922;Venezuelansk hestefeber
A923;"""West Nile""-virusinfeksjon"
A924;"""Rift Valley""-feber"
A925;Zikavirussykdom
A928;Andre spesifiserte virussykdommer overført ved mygg
A929;Uspesifisert virussykdom overført ved mygg
A930;Oropouchevirussykdom
A931;Sandfluefeber
A932;Coloradoflåttfeber
A938;Andre spesifiserte virussykdommer overført ved artropoder
A94;Uspesifisert virussykdom overført ved artropoder
A950;Sylvatisk gulfeber
A951;Urban gulfeber
A959;Uspesifisert gulfeber
A960;Hemoragisk juninvirussykdom
A961;Hemoragisk machupovirussykdom
A962;Lassafeber
A968;Andre spesifiserte hemoragiske arenavirussykdommer
A969;Uspesifisert hemoragisk arenavirussykdom
A970;Dengue uten varselstegn
A971;Dengue med varselstegn
A972;Alvorlig Dengue
A979;Dengue, uspesifisert
A980;Hemoragisk krimfeber som skyldes Congo-CHF-virus
A981;Hemoragisk Omsk-feber
A982;Kyasanur Forest-sykdom
A983;Marburg-virussykdom
A984;Ebola-virussykdom
A985;Hemoragisk feber med renalt syndrom
A988;Andre spesifiserte hemoragiske virussykdommer
A99;Uspesifisert hemoragisk virussykdom
B000;Eczema herpeticum
B001;Vesikulær herpesdermatitt
B002;Herpetisk gingivostomatitt og faryngotonsillitt
B003;Herpesmeningitt
B004;Herpesencefalitt
B005;Okulær herpesvirussykdom
B007;Disseminert herpesvirussykdom
B008;Andre spesifiserte former for herpesvirusinfeksjon
B009;Uspesifisert herpesvirusinfeksjon
B010;Varicellameningitt
B011;Varicellaencefalitt
B012;Varicellapneumoni
B018;Varicella med andre komplikasjoner
B019;Varicella uten komplikasjoner
B020;Zosterencefalitt
B021;Zostermeningitt
B022;Herpes zoster med annen affeksjon av nervesystemet
B023;Herpes zoster-sykdom i øye
B027;Disseminert herpes zoster
B028;Herpes zoster med andre komplikasjoner
B029;Herpes zoster uten komplikasjoner
B03;Kopper
B04;Apekopper
B050;Meslinger med encefalitt som komplikasjon
B051;Meslinger med meningitt som komplikasjon
B052;Meslinger med pneumoni som komplikasjon
B053;Meslinger med mellomørebetennelse som komplikasjon
B054;Meslinger med intestinale komplikasjoner
B058;Meslinger med andre komplikasjoner
B059;Meslinger uten komplikasjoner
B060;Rubella med nevrologiske komplikasjoner
B068;Rubella med andre komplikasjoner
B069;Rubella uten komplikasjoner
B07;Virusvorter
B080;Andre orthopoxvirusinfeksjoner
B081;Molluscum contagiosum
B082;Exanthema subitum
B083;Erythema infectiosum
B084;Vesikulær stomatitt med eksantem som skyldes enterovirus
B085;Vesikulær faryngitt som skyldes enterovirus
B088;Andre spes. v.infek. kj.tegn. ved hud- og slimhinnelesjoner
B09;Uspes. virusinfeksjon kj.tegn. ved hud- og slimhinnelesjoner
B150;Hepatitt A med leverkoma
B159;Hepatitt A uten leverkoma
B160;Akutt hepatitt B med delta-agens (koinfeksjon) og leverkoma
B161;Akutt hepatitt B med delta-agens (koinfeksjon) u. leverkoma
B162;Akutt hepatitt B uten delta-agens med leverkoma
B169;Akutt hepatitt B uten deltavirus og uten leverkoma
B170;Akutt delta(super)infeksjon ved kronisk hepatitt B
B171;Akutt hepatitt C
B172;Akutt hepatitt E
B178;Annen spesifisert akutt virushepatitt
B179;Akutt uspesifisert virushepatitt
B180;Kronisk virushepatitt B med delta-agens
B1800;Kronisk virushepatitt B med delta-agens, immuntolerant fase
B1809;Kronisk virushepatitt B med delta-agens, annen og uspes fase
B181;Kronisk virushepatitt B uten delta-agens
B1810;Kronisk virushepatitt B uten delta-agens, immuntolerant fase
B1819;Kronisk virushepatitt B uten delta-agens, annen/uspes. fase
B182;Kronisk virushepatitt C
B188;Annen spesifisert kronisk virushepatitt
B189;Uspesifisert kronisk virushepatitt
B190;Uspesifisert virushepatitt med leverkoma
B199;Uspesifisert virushepatitt uten leverkoma
B200;Hiv-sykdom med mykobakterieinfeksjon
B201;Hiv-sykdom med andre bakterieinfeksjoner
B202;Hiv-sykdom med cytomegalovirussykdom
B203;Hiv-sykdom med andre virusinfeksjoner
B204;Hiv-sykdom med candidainfeksjon
B205;Hiv-sykdom med andre soppsykdommer
B206;Hiv-sykdom med pneumoni som skyldes Pneumocystis jirovecii
B207;Hiv-sykdom med flere infeksjoner
B208;Hiv-sykdom med andre spes. infeksjons- og parasittsykdommer
B209;Hiv-sykdom med uspesifisert infeksjons- eller parasittsykdom
B210;Hiv-sykdom med Kaposis sarkom
B211;Hiv-sykdom med Burkitt lymfom
B212;Hiv-sykdom med andre typer non-Hodgkin lymfom
B213;Hiv-sykdom m. a. ondart. svu. i lymf./hemat./besl. vev
B217;Hiv-sykdom med flere ondartede svulster
B218;Hiv-sykdom med andre spesifiserte ondartede svulster
B219;Hiv-sykdom med uspesifisert ondartet svulst
B220;Hiv-sykdom med encefalopati
B221;Hiv-sykdom med lymfoid interstitiell pneumonitt
B222;Hiv-sykdom med avmagringssyndrom
B227;Hiv-sykdom med flere sykdommer, kl. a. st., som følge
B230;Akutt hiv-infeksjonssyndrom
B231;Hiv-sykdom med (vedvarende) generalisert lymfadenopati
B232;Hiv-sykdom med hemat. og immunolog. abn. IKAS
B238;Hiv-sykdom med andre spesifiserte tilstander som følge
B24;Uspesifisert humant immunsviktvirus-sykdom (hiv-sykdom)
B250;Cytomegaloviruspneumonitt
B251;Cytomegalovirushepatitt
B252;Cytomegaloviruspankreatitt
B258;Andre spesifiserte cytomegalovirussykdommer
B259;Uspesifisert cytomegalovirussykdom
B260;Kusmaorkitt
B261;Kusmameningitt
B262;Kusmaencefalitt
B263;Kusmapankreatitt
B268;Kusma med andre komplikasjoner
B269;Kusma uten komplikasjoner
B270;Gammaherpesvirusmononukleose
B271;Cytomegalovirusmononukleose
B278;Annen spesifisert mononukleose
B279;Uspesifisert mononukleose
B300;Keratokonjunktivitt som skyldes adenovirus
B301;Konjunktivitt som skyldes adenovirus
B302;Virus-faryngokonjunktivitt
B303;Akutt epidemisk hemoragisk konjunktivitt (enteroviral)
B308;Annen spesifisert viruskonjunktivitt
B309;Uspesifisert viruskonjunktivitt
B330;Epidemisk myalgi
B331;"""Ross River""-sykdom"
B332;Viruskarditt
B333;Retrovirusinfeksjoner, ikke klassifisert annet sted
B334;Hantavirus (kardio)-pulmonalt syndrom (J17.1*)
B338;Andre spesifiserte virussykdommer
B340;Adenovirusinfeksjon med uspesifisert lokalisasjon
B341;Enterovirusinfeksjon med uspesifisert lokalisasjon
B342;Coronavirusinfeksjon med uspesifisert lokalisasjon
B343;Parvovirusinfeksjon med uspesifisert lokalisasjon
B344;Papovavirusinfeksjon med uspesifisert lokalisasjon
B348;Andre virusinfeksjoner med uspesifisert lokalisasjon
B349;Uspesifisert virusinfeksjon
B350;Skjeggsopp og hodebunnssopp
B351;Neglesopp
B352;Håndsopp
B353;Fotsopp
B354;Kroppssopp
B355;Kronisk kroppssopp
B356;Lyske- og skrittsopp
B358;Andre spesifiserte hudsoppsykdommer
B359;Uspesifisert hudsoppsykdom
B360;Pityriasis versicolor
B361;Tinea nigra
B362;Tinea blanca
B363;Svart piedra
B368;Andre spesifiserte overfladiske soppsykdommer
B369;Uspesifisert overfladisk soppsykdom
B370;Candidastomatitt
B371;Candidainfeksjon i lunger
B372;Candidainfeksjon på hud og negler
B373;Candidainfeksjon i ytre kvinnelige kjønnsorganer og skjede
B374;Candidainfeksjon i kjønnsorganer og urinveier med annen lok.
B375;Candidameningitt
B376;Candidaendokarditt
B377;Candidasepsis
B378;Candidainfeksjon med annen spesifisert lokalisasjon
B379;Uspesifisert candidainfeksjon
B380;Akutt pulmonal koksidioidomykose
B381;Kronisk pulmonal koksidioidomykose
B382;Uspesifisert pulmonal koksidioidomykose
B383;Kutan koksidioidomykose
B384;Koksidioidomykosemeningitt
B387;Disseminert koksidioidomykose
B388;Andre spesifiserte former for koksidioidomykose
B389;Uspesifisert koksidioidomykose
B390;Akutt pulmonal histoplasmose
B391;Kronisk pulmonal histoplasmose
B392;Uspesifisert pulmonal histoplasmose
B393;Disseminert histoplasmose
B394;Uspes. histoplasmose som skyldes Histoplasma capsulatum
B395;Histoplasmose som skyldes Histoplasma duboisii
B399;Uspesifisert histoplasmose
B400;Akutt pulmonal blastomykose
B401;Kronisk pulmonal blastomykose
B402;Uspesifisert pulmonal blastomykose
B403;Kutan blastomykose
B407;Disseminert blastomykose
B408;Andre spesifiserte former for blastomykose
B409;Uspesifisert blastomykose
B410;Pulmonal parakoksidioidomykose
B417;Disseminert parakoksidioidomykose
B418;Andre spesifiserte former for parakoksidioidomykose
B419;Uspesifisert parakoksidioidomykose
B420;Pulmonal sporotrikose
B421;Lymfokutan sporotrikose
B427;Disseminert sporotrikose
B428;Andre spesifiserte former for sporotrikose
B429;Uspesifisert sporotrikose
B430;Kutan kromomykose
B431;Feomykotisk hjerneabscess
B432;Subkutan feomykotisk abscess og cyste
B438;Andre spesifiserte former for kromomykose
B439;Uspesifisert kromomykose
B440;Invasiv pulmonal aspergillose
B441;Annen pulmonal aspergillose
B442;Tonsillær aspergillose
B447;Disseminert aspergillose
B448;Andre spesifiserte former for aspergillose
B449;Uspesifisert aspergillose
B450;Pulmonal kryptokokkose
B451;Cerebral kryptokokkose
B452;Kutan kryptokokkose
B453;Ossøs kryptokokkose
B457;Disseminert kryptokokkose
B458;Andre spesifiserte former for kryptokokkose
B459;Uspesifisert kryptokokkose
B460;Pulmonal mucormykose
B461;Rinocerebral mucormykose
B462;Gastrointestinal mucormykose
B463;Kutan mucormykose
B464;Disseminert mucormykose
B465;Uspesifisert mucormykose
B468;Andre spesifiserte zygomykoser
B469;Uspesifisert zygomykose
B470;Eumycetom
B471;Aktinomycetom
B479;Uspesifisert mycetom
B480;Lobomykose
B481;Rinosporidiose
B482;Allescheriasis
B483;Geotrikose
B484;Penicilliose
B485;Pneumocystose
B487;Opportunistiske soppsykdommer
B488;Andre spesifiserte soppsykdommer
B49;Uspesifisert soppsykdom
B500;Malaria som skyldes P. falciparum, med hjernekomplikasjoner
B508;Annen spes. alv. og komp. malaria som skyldes P. falciparum
B509;Uspesifisert malaria som skyldes Plasmodium falciparum
B510;Malaria som skyldes Plasmodium vivax, med miltruptur
B518;Malaria som skyldes Plasmodium vivax, med andre komp.
B519;Malaria som skyldes Plasmodium vivax, uten komplikasjoner
B520;Malaria som skyldes Plasmodium malariae, med nefropati
B528;Malaria som skyldes Plasmodium malariae, med andre komp.
B529;Malaria som skyldes Plasmodium malariae, uten komplikasjoner
B530;Malaria som skyldes Plasmodium ovale
B531;Apeplasmodiamalaria
B538;Annen spesifisert parasittologisk bekreftet malaria IKAS
B54;Uspesifisert malaria
B550;Visceral leishmaniasis
B551;Kutan leishmaniasis
B552;Mukokutan leishmaniasis
B559;Uspesifisert leishmaniasis
B560;Trypanosomiasis gambiensis
B561;Trypanosomiasis rhodesiensis
B569;Uspesifisert afrikansk trypanosomiasis
B570;Akutt Chagas sykdom med hjerteaffeksjon
B571;Akutt Chagas sykdom uten hjerteaffeksjon
B572;Chagas sykdom (kronisk) med hjerteaffeksjon
B573;Chagas sykdom (kronisk) med fordøyelsessystemaffeksjon
B574;Chagas sykdom (kronisk) med nervesystemaffeksjon
B575;Chagas sykdom (kronisk) med annen organaffeksjon
B580;Toksoplasma-okulopati
B581;Toksoplasmahepatitt
B582;Toksoplasmameningoencefalitt
B583;Pulmonal toksoplasmose
B588;Toksoplasmose med annen spesifisert organaffeksjon
B589;Uspesifisert toksoplasmose
B600;Babesiose
B601;Akantamøbeinfeksjon
B602;Naegleriainfeksjon
B608;Andre spesifiserte protozosykdommer
B64;Uspesifisert protozosykdom
B650;Schistosomiasis som skyldes Schistosoma haematobium
B651;Schistosomiasis som skyldes Schistosoma mansoni
B652;Schistosomiasis som skyldes Schistosoma japonicum
B653;Cerkariedermatitt
B658;Annen spesifisert schistosomiasis
B659;Uspesifisert schistosomiasis
B660;Opisthorchiasis
B661;Clonorchiasis
B662;Dicrocoeliasis
B663;Fascioliasis
B664;Paragonimiasis
B665;Fasciolopsiasis
B668;Andre spesifiserte ikteinfeksjoner
B669;Uspesifisert ikteinfeksjon
B670;Infeksjon i lever som skyldes Echinococcus granulosus
B671;Infeksjon i lunger som skyldes Echinococcus granulosus
B672;Infeksjon i ben som skyldes Echinococcus granulosus
B673;Infek. s. sk. Ec. granulosus, andre og multiple lok.
B674;Uspesifisert infeksjon som skyldes Echinococcus granulosus
B675;Infeksjon i lever som skyldes Echinococcus multilocularis
B676;Infek. s. sk. Ec. multilocularis, andre og multiple lok.
B677;Uspesifisert infeksjon som skyldes Ec. multilocularis
B678;Uspesifisert ekinokokkose i lever
