komnr;komnr_navn;bydel;bydel_navn;borhf;borhf_navn;bohf;bohf_navn;bosh;bosh_navn;bodps;bodps_navn;kommentar
1820;1820 Alstahaug;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1822;1822 Leirfjord;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1827;1827 Dønna;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
1834;1834 Lurøy;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;GCL 9/7-2025. Tidligere koblet til Rana av SKDE. Lurøy er todelt. Flest bosatte sogner til Sandnessjøen. SSB deler basert på grunnkretser.
1835;1835 Træna;;;1;Helse Nord RHF;4;Helgeland;43;Sandnessjøen;14;Ytre Helgeland;
5006;5006 Steinkjer;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5034;5034 Meråker;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5035;5035 Stjørdal;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5036;5036 Frosta;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5037;5037 Levanger;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5038;5038 Verdal;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5041;5041 Snåsa;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5053;5053 Inderøy;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;61;Levanger;;;
5007;5007 Namsos;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5020;5020 Osen;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5042;5042 Lierne;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5043;5043 Røyrvik;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5044;5044 Namsskogan;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5045;5045 Grong;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5046;5046 Høylandet;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5047;5047 Overhalla;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5049;5049 Flatanger;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5052;5052 Leka;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5060;5060 Nærøysund;;;2;Helse Midt-Norge RHF;6;Nord-Trøndelag;62;Namsos;;;
5001;5001 Trondheim;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5001;5001 Trondheim;500101;01 Midtbyen;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5001;5001 Trondheim;500102;02 Østbyen;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5001;5001 Trondheim;500103;03 Lerkendal;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5001;5001 Trondheim;500104;04 Heimdal;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5001;5001 Trondheim;500199;99 Uoppgitt bydel Trondheim;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5025;5025 Røros;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5026;5026 Holtålen;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5027;5027 Midtre Gauldal;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5028;5028 Melhus;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5031;5031 Malvik;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5032;5032 Selbu;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5033;5033 Tydal;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5054;5054 Indre Fosen;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5057;5057 Ørland;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;
5058;5058 Åfjord;;;2;Helse Midt-Norge RHF;7;St. Olav;71;St. Olav;;;1.jan.2021: Nye 5058 Åfjord består av og 1630/5018 Åfjord og 1632/5019 Roan. Roan med ca 950 innbyggere var tidligere i opptaksområdet Helse Nord-Trøndelag (bohf=6).
5014;5014 Frøya;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;
5021;5021 Oppdal;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;
5022;5022 Rennebu;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;
5029;5029 Skaun;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;
5055;5055 Heim;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;1.jan.2021: 1571 Halsa, 5011 Hemne og del av 5012 Snillfjord ble slått sammen til 5055 Heim i 2020. Halsa med ca 1600 innbyggere tilhørte tidligere opptaksområdet Møre og Romsdal (bohf=8). 5012 Snillfjord ble delt mellom 5055 Heim, 5056 Hitra og 5059 Orkland. SKDE velger 5059 Orkland. 1613/5012 Snillfjord med ca 1000 innbyggere skifter ikke opptaksområde.
5056;5056 Hitra;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;1.jan.2021: 5012 Snillfjord ble delt mellom 5055 Heim, 5056 Hitra og 5059 Orkland. SKDE velger 5059 Orkland. 1613/5012 Snillfjord med ca 1000 innbyggere skifter ikke opptaksområde.
5059;5059 Orkland;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;1.jan.2021: 5012 Snillfjord ble delt mellom 5055 Heim, 5056 Hitra og 5059 Orkland. SKDE velger 5059 Orkland. 1613/5012 Snillfjord med ca 1000 innbyggere skifter ikke opptaksområde.
5061;5061 Rindal;;;2;Helse Midt-Norge RHF;7;St. Olav;72;Orkdal;;;
1505;1505 Kristiansund;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1506;1506 Molde;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1539;1539 Rauma;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1547;1547 Aukra;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1554;1554 Averøy;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1557;1557 Gjemnes;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1560;1560 Tingvoll;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1563;1563 Sunndal;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1566;1566 Surnadal;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1573;1573 Smøla;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1576;1576 Aure;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1579;1579 Hustadvika;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;81;Nordmøre og Romsdal;;;
1511;1511 Vanylven;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;82;Volda;;;
1514;1514 Sande (Møre og Romsdal);;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;82;Volda;;;
1515;1515 Herøy (Møre og Romsdal);;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;82;Volda;;;
1516;1516 Ulstein;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;82;Volda;;;
1517;1517 Hareid;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;82;Volda;;;
1520;1520 Ørsta;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;82;Volda;;;
1577;1577 Volda;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;82;Volda;;;1.jan.2021: Nye 1577 Volda består av 1519 Volda og 1444 Hornindal. Hornindal med ca 1100 innbyggere var tidligere i opptaksområdet Helse Førde (bohf=10).
1508;1508 Ålesund;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
1525;1525 Stranda;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
1528;1528 Sykkylven;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
1531;1531 Sula;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
1532;1532 Giske;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
1535;1535 Vestnes;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
1578;1578 Fjord;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
1580;1580 Haram;;;2;Helse Midt-Norge RHF;8;Møre og Romsdal;83;Ålesund;;;
4602;4602 Kinn;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4636;4636 Solund;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4637;4637 Hyllestad;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4638;4638 Høyanger;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4640;4640 Sogndal;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4644;4644 Luster;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4645;4645 Askvoll;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4646;4646 Fjaler;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4647;4647 Sunnfjord;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4648;4648 Bremanger;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4650;4650 Gloppen;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4651;4651 Stryn;;;3;Helse Vest RHF;10;Førde;101;Førde;;;
4639;4639 Vik;;;3;Helse Vest RHF;10;Førde;102;Lærdal;;;
4641;4641 Aurland;;;3;Helse Vest RHF;10;Førde;102;Lærdal;;;
4642;4642 Lærdal;;;3;Helse Vest RHF;10;Førde;102;Lærdal;;;
4643;4643 Årdal;;;3;Helse Vest RHF;10;Førde;102;Lærdal;;;
4649;4649 Stad;;;3;Helse Vest RHF;10;Førde;103;Nordfjord;;;
4601;4601 Bergen;460101;01 Arna;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4601;4601 Bergen;460102;02 Bergenhus;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4601;4601 Bergen;460108;08 Åsane;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4623;4623 Samnanger;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4628;4628 Vaksdal;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4629;4629 Modalen;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4630;4630 Osterøy;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4631;4631 Alver;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4632;4632 Austrheim;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4633;4633 Fedje;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4634;4634 Masfjorden;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;
4635;4635 Gulen;;;3;Helse Vest RHF;11;Bergen;91;Haraldsplass;;;GCL 9/7-2025. Tidligere koblet til Førde av SKDE. SSB har i samråd med Helse SØ besluttet at Bergen er rette HF.02.02.2022: 4635 Gulen flyttes tilbake til Helse Førde (bohf=10). 1.jan 2021 ble Gulen flyttet fra Helse Førde til Helse Bergen (bohf=11).
4601;4601 Bergen;;;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4601;4601 Bergen;460103;03 Fana;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4601;4601 Bergen;460104;04 Fyllingsdalen;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4601;4601 Bergen;460105;05 Laksevåg;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4601;4601 Bergen;460106;06 Ytrebygda;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4601;4601 Bergen;460107;07 Årstad;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4601;4601 Bergen;460199;99 Uoppgitt bydel Bergen;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4624;4624 Bjørnafjorden;;;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4625;4625 Austevoll;;;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4626;4626 Øygarden;;;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4627;4627 Askøy;;;3;Helse Vest RHF;11;Bergen;111;Haukeland;;;
4619;4619 Eidfjord;;;3;Helse Vest RHF;11;Bergen;112;Voss;;;GCL 9/7-2025. Tidligere koblet til Fonna av SKDE. SSB har i samråd med Helse SØ besluttet at Bergen er rette HF.
4620;4620 Ulvik;;;3;Helse Vest RHF;11;Bergen;112;Voss;;;
4621;4621 Voss;;;3;Helse Vest RHF;11;Bergen;112;Voss;;;
4622;4622 Kvam;;;3;Helse Vest RHF;11;Bergen;112;Voss;;;
1106;1106 Haugesund;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
1134;1134 Suldal;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
1135;1135 Sauda;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
1145;1145 Bokn;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
1146;1146 Tysvær;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
1149;1149 Karmøy;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
1151;1151 Utsira;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
1160;1160 Vindafjord;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
4611;4611 Etne;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
4612;4612 Sveio;;;3;Helse Vest RHF;12;Fonna;121;Haugesund;;;
4618;4618 Ullensvang;;;3;Helse Vest RHF;12;Fonna;122;Odda;;;
4613;4613 Bømlo;;;3;Helse Vest RHF;12;Fonna;123;Stord;;;
4614;4614 Stord;;;3;Helse Vest RHF;12;Fonna;123;Stord;;;
4615;4615 Fitjar;;;3;Helse Vest RHF;12;Fonna;123;Stord;;;
4616;4616 Tysnes;;;3;Helse Vest RHF;12;Fonna;123;Stord;;;
4617;4617 Kvinnherad;;;3;Helse Vest RHF;12;Fonna;123;Stord;;;
1101;1101 Eigersund;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110301;01 Hundvåg;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110302;02 Tasta;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110303;03 Eiganes/Våland;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110304;04 Madla;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110305;05 Storhaug;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110306;06 Hillevåg;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110307;07 Hinna;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110308;08 Finnøy;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110309;09 Rennesøy;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1103;1103 Stavanger;110399;99 Uoppgitt bydel Stavanger;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1108;1108 Sandnes;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1111;1111 Sokndal;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1112;1112 Lund;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1114;1114 Bjerkreim;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1119;1119 Hå;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1120;1120 Klepp;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1121;1121 Time;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1122;1122 Gjesdal;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1124;1124 Sola;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1127;1127 Randaberg;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1130;1130 Strand;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1133;1133 Hjelmeland;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
1144;1144 Kvitsøy;;;3;Helse Vest RHF;13;Stavanger;131;Stavanger;;;
3101;3101 Halden;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3103;3103 Moss;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3105;3105 Sarpsborg;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3107;3107 Fredrikstad;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3110;3110 Hvaler;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3112;3112 Råde;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3114;3114 Våler;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3116;3116 Skiptvet;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3118;3118 Indre Østfold;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3120;3120 Rakkestad;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3122;3122 Marker;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3124;3124 Aremark;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;
3216;3216 Vestby;;;4;Helse Sør-Øst RHF;14;Østfold;141;Østfold;;;1.jan.2021: Sykehuset Østfold ble i 2018 lokalsykehus for 211/3019 Vestby. Vestby med ca 17800 innbyggere var tidligere i opptaksområdet til Akershus (bohf=15).
301;0301 Oslo kommune;30110;10 Grorud;4;Helse Sør-Øst RHF;15;Akershus;151;Akershus;;;
301;0301 Oslo kommune;30111;11 Stovner;4;Helse Sør-Øst RHF;15;Akershus;151;Akershus;;;
301;0301 Oslo kommune;30112;12 Alna;4;Helse Sør-Øst RHF;15;Akershus;151;Akershus;;;
