ICPC2B_ICD10_Kode;ICPC2_Kode;ICPC2B_tekst;icpc2_Kap;icpc2_type;ICPC2B_kode
R688;A08;Hevelse INA;A;1;A080001
R688;A08;Kul IKA;A;1;A080002
R688;A08;Kul;A;1;A080003
R688;A08;Oppfylning INA;A;1;A080004
R619;A09;Svetteproblemer;A;1;A090000
R610;A09;Fotsvette;A;1;A090001
R611;A09;Hyperhidrose generalisert;A;1;A090002
R610;A09;Hyperhidrose lokalisert;A;1;A090003
R619;A09;Hyperhidrose;A;1;A090004
R619;A09;Nattesvette;A;1;A090005
R619;A09;Svettelukt;A;1;A090006
R619;A09;Økt svette;A;1;A090007
R619;A09;Økt svetting;A;1;A090008
R58;A10;Blødning IKA;A;1;A100000
R58;A10;Blod i avføring som ikke synes;A;1;A100001
R58;A10;Blødning indre INA;A;1;A100002
R58;A10;Blødning med ukjent lokalisasjon/årsak;A;1;A100003
R58;A10;Blødning sekundær spontan;A;1;A100004
R58;A10;Blødning skjult/okkult INA;A;1;A100005
R58;A10;Blødning ukjent lokalisasjon;A;1;A100006
R58;A10;Ekkymose;A;1;A100007
R58;A10;Ruptur blodkar;A;1;A100008
R074;A11;Brystsmerte IKA;A;1;A110000
Z711;A13;Engstelig for behandling;A;1;A130000
Z711;A13;Legemiddel virkning spørsmål om;A;1;A130001
Z711;A13;Medisinsk behandling spørsmål om;A;1;A130002
R681;A16;Irritabelt/urolig spedbarn;A;1;A160000
R681;A16;Eksessiv skriking spedbarn;A;1;A160001
R681;A16;Uspesifikke symptomer spedbarn;A;1;A160002
R681;A16;Uvanlig/overdreven skriking og uro spedbarn;A;1;A160003
R681;A16;Ømfintlig spedbarn;A;1;A160004
R468;A18;Bekymret/opptatt av utseende IKA;A;1;A180000
Z718;A20;Dødshjelp diskusjon/spørsmål om;A;1;A200000
Z718;A20;Eutanasi diskusjon/spørsmål om;A;1;A200001
Z809;A21;Økt risiko for ondartet svulst;A;1;A210000
Z809;A21;Andre risikofaktorer for ondartet svulst;A;1;A210001
Z809;A21;Familiær belastning vedrørende ondartet svulst;A;1;A210002
Z809;A21;Ondartet svulst familiær belastning;A;1;A210003
Z859;A21;Ondartet svulst i sykehistorien;A;1;A210004
Z856;A21;Opplysning om leukemi i egen sykehistorie;A;1;A210005
Z806;A21;Opplysning om leukemi i familieanamnesen;A;1;A210006
Z858;A21;Opplysning om ondartet svulst i annet spesifisert organ eller system i egen sykehistorie;A;1;A210007
Z808;A21;Opplysning om ondartet svulst i annet spesifisert organ eller system i familieanamnesen;A;1;A210008
Z852;A21;Opplysning om ondartet svulst i annet åndedrettsorgan eller intratorakalt organ i egen sykehistorie;A;1;A210009
Z802;A21;Opplysning om ondartet svulst i annet åndedrettsorgan eller intratorakalt organ i familieanamnesen;A;1;A210010
Z853;A21;Opplysning om ondartet svulst i bryst i egen sykehistorie;A;1;A210011
Z803;A21;Opplysning om ondartet svulst i bryst i familieanamnesen;A;1;A210012
Z850;A21;Opplysning om ondartet svulst i fordøyelsesorgan i egen sykehistorie;A;1;A210013
Z800;A21;Opplysning om ondartet svulst i fordøyelsesorgan i familieanamnesen;A;1;A210014
Z854;A21;Opplysning om ondartet svulst i kjønnsorganer i egen sykehistorie;A;1;A210015
Z804;A21;Opplysning om ondartet svulst i kjønnsorganer i familieanamnesen;A;1;A210016
Z851;A21;Opplysning om ondartet svulst i luftrør, bronkie eller lunge i egen sykehistorie;A;1;A210017
Z801;A21;Opplysning om ondartet svulst i luftrør, bronkie eller lunge i familieanamnesen;A;1;A210018
Z857;A21;Opplysning om ondartet svulst i lymfatisk, bloddannende eller beslektet vev i egen sykehistorie;A;1;A210019
Z807;A21;Opplysning om ondartet svulst i lymfatisk, bloddannende eller beslektet vev i familieanamnesen;A;1;A210020
Z805;A21;Opplysning om ondartet svulst i urinsystemet i familieanamnesen;A;1;A210021
Z855;A21;Opplysning om ondartet svulst i urinveier i egen sykehistorie;A;1;A210022
Z918;A23;Risiko for sykdom IKA;A;1;A230000
Z836;A23;Allergi familiær belastning;A;1;A230001
Z825;A23;Astma familiær belastning;A;1;A230002
Z833;A23;Diabetes familiær belastning;A;1;A230003
Z840;A23;Eksem familiær belastning;A;1;A230004
Z289;A23;Immunisering ikke utført;A;1;A230005
Z827;A23;Medfødt feil familiær belastning;A;1;A230006
Z820;A23;Nervesystemsykdom familiær belastning;A;1;A230007
Z720;A23;Problemer med røykeavvenning;A;1;A230008
Z840;A23;Psoriasis familiær belastning;A;1;A230009
Z818;A23;Psykisk lidelse familiær belastning;A;1;A230010
Z826;A23;Reumatisk sykd familiær belastning;A;1;A230011
Z721;A23;Risiko pga alkoholbruk;A;1;A230012
Z724;A23;Risiko pga kosthold;A;1;A230013
Z722;A23;Risiko pga legemiddelbruk;A;1;A230014
Z729;A23;Risiko pga levevaner INA;A;1;A230015
Z723;A23;Risiko pga lite mosjon;A;1;A230016
Z725;A23;Risiko pga seksualatferd;A;1;A230017
Z209;A23;Risiko pga smitte;A;1;A230018
Z720;A23;Risiko pga tobakksbruk;A;1;A230019
Z725;A23;Seksuell høyrisikoatferd;A;1;A230020
Z848;A23;Sykdom familiær belastning IKA;A;1;A230021
Z288;A23;Immunisering ikke utført av annen spesifisert årsak;A;1;A230022
Z282;A23;Immunisering ikke utført grunnet beslutning tatt av pasient eller pårørende av annen eller uspesifisert årsak;A;1;A230023
Z281;A23;Immunisering ikke utført grunnet beslutning tatt av pasient eller pårørende av overbevisningsårsak eller etter gruppepress;A;1;A230024
Z280;A23;Immunisering ikke utført grunnet medisinsk kontraindikasjon;A;1;A230025
Z208;A23;Kontakt med eller eksposisjon for annen smittsom sykdom;A;1;A230026
Z206;A23;Kontakt med eller eksposisjon for humant immunsviktvirus (hiv);A;1;A230027
Z207;A23;Kontakt med eller eksposisjon for lus, innvollsorm eller annen parasitt;A;1;A230028
Z203;A23;Kontakt med eller eksposisjon for rabies;A;1;A230029
Z204;A23;Kontakt med eller eksposisjon for rubella;A;1;A230030
Z202;A23;Kontakt med eller eksposisjon for seksuelt overførbar infeksjon;A;1;A230031
Z200;A23;Kontakt med eller eksposisjon for smittsom tarmsykdom;A;1;A230032
Z201;A23;Kontakt med eller eksposisjon for tuberkulose;A;1;A230033
Z205;A23;Kontakt med eller eksposisjon for virushepatitt;A;1;A230034
Z811;A23;Opplysning om alkoholmisbruk i familieanamnesen;A;1;A230035
Z881;A23;Opplysning om allergi mot annen antibiotika i egen sykehistorie;A;1;A230036
Z883;A23;Opplysning om allergi mot annet antiinfektivum i egen sykehistorie;A;1;A230037
Z888;A23;Opplysning om allergi mot annet spesifisert legemiddel eller biologisk stoff i egen sykehistorie;A;1;A230038
Z884;A23;Opplysning om allergi mot bedøvelsesmiddel i egen sykehistorie;A;1;A230039
Z885;A23;Opplysning om allergi mot narkotisk middel i egen sykehistorie;A;1;A230040
Z880;A23;Opplysning om allergi mot penicillin i egen sykehistorie;A;1;A230041
Z887;A23;Opplysning om allergi mot serum eller vaksine i egen sykehistorie;A;1;A230042
Z886;A23;Opplysning om allergi mot smertestillende middel i egen sykehistorie;A;1;A230043
Z882;A23;Opplysning om allergi mot sulfonamid i egen sykehistorie;A;1;A230044
Z889;A23;Opplysning om allergi mot uspesifisert legemiddel eller biologisk stoff i egen sykehistorie;A;1;A230045
Z831;A23;Opplysning om annen infeksjonssykdom eller parasittsykdom i familieanamnesen;A;1;A230046
Z928;A23;Opplysning om annen spesifisert tidligere medisinsk behandling;A;1;A230047
Z878;A23;Opplysning om annen spesifisert tilstand i egen sykehistorie;A;1;A230048
Z828;A23;Opplysning om annen spesifisert type uførhet eller annen spesifisert kronisk invalidiserende sykdom i familieanamnesen, ikke klassifisert annet sted;A;1;A230049
Z860;A23;Opplysning om annen svulst i egen sykehistorie;A;1;A230050
Z842;A23;Opplysning om annen sykdom i kjønnsorganer eller urinveier i familieanamnesen;A;1;A230051
Z916;A23;Opplysning om annet fysisk traume i egen sykehistorie;A;1;A230052
Z821;A23;Opplysning om blindhet eller synstap i familieanamnesen;A;1;A230053
Z822;A23;Opplysning om døvhet eller hørselstap i familieanamnesen;A;1;A230054
Z863;A23;Opplysning om endokrin sykdom, ernæringssykdom eller metabolsk forstyrrelse i egen sykehistorie;A;1;A230055
Z834;A23;Opplysning om endokrin sykdom, ernæringssykdom eller metabolsk forstyrrelse i familieanamnesen;A;1;A230056
Z910;A23;Opplysning om erfart allergi mot annet enn legemiddel eller biologisk stoff i egen sykehistorie;A;1;A230057
Z830;A23;Opplysning om hiv-sykdom i familieanamnesen;A;1;A230058
Z861;A23;Opplysning om infeksjonssykdom eller parasittsykdom i egen sykehistorie;A;1;A230059
Z843;A23;Opplysning om inngifte i familieanamnesen;A;1;A230060
Z875;A23;Opplysning om komplikasjon ved svangerskap, fødsel eller barseltid i egen sykehistorie;A;1;A230061
Z917;A23;Opplysning om kvinnelig kjønnslemlestelse i egen sykehistorie;A;1;A230062
Z922;A23;Opplysning om langtidsbruk av andre legemidler;A;1;A230063
Z921;A23;Opplysning om langtidsbruk av antikoagulanter;A;1;A230064
Z911;A23;Opplysning om manglende medvirkning til medisinsk behandling eller regime i egen sykehistorie;A;1;A230065
Z877;A23;Opplysning om medfødt misdannelse, deformitet eller kromosomavvik i egen sykehistorie;A;1;A230066
Z813;A23;Opplysning om misbruk av annet psykoaktivt stoff i familieanamnesen;A;1;A230067
Z814;A23;Opplysning om misbruk av annet stoff i familieanamnesen;A;1;A230068
Z864;A23;Opplysning om misbruk av psykoaktivt stoff i egen sykehistorie;A;1;A230069
Z920;A23;Opplysning om prevensjon i egen sykehistorie;A;1;A230070
Z865;A23;Opplysning om psykisk lidelse eller atferdsforstyrrelse i egen sykehistorie;A;1;A230071
Z810;A23;Opplysning om psykisk utviklingshemming i familieanamnesen;A;1;A230072
Z862;A23;Opplysning om sykdom i blod eller bloddannende organ eller visse tilstander som angår immunsystemet i egen sykehistorie;A;1;A230073
Z832;A23;Opplysning om sykdom i blod eller bloddannende organ eller visse tilstander som angår immunsystemet i familieanamnesen;A;1;A230074
Z871;A23;Opplysning om sykdom i fordøyelsessystemet i egen sykehistorie;A;1;A230075
Z837;A23;Opplysning om sykdom i fordøyelsessystemet i familieanamnesen;A;1;A230076
Z872;A23;Opplysning om sykdom i hud eller underhud i egen sykehistorie;A;1;A230077
Z874;A23;Opplysning om sykdom i kjønnsorganer eller urinveier i egen sykehistorie;A;1;A230078
Z870;A23;Opplysning om sykdom i luftveiene i egen sykehistorie;A;1;A230079
Z873;A23;Opplysning om sykdom i muskel-skjelettsystemet eller bindevev i egen sykehistorie;A;1;A230080
Z866;A23;Opplysning om sykdom i nervesystemet eller sanseorgan i egen sykehistorie;A;1;A230081
Z912;A23;Opplysning om tidligere dårlig personlig hygiene;A;1;A230082
Z926;A23;Opplysning om tidligere kjemoterapi mot svulst;A;1;A230083
Z914;A23;Opplysning om tidligere psykisk traume ikke klassifisert annet sted;A;1;A230084
Z925;A23;Opplysning om tidligere rehabiliteringstiltak;A;1;A230085
Z915;A23;Opplysning om tidligere selvpåført skade;A;1;A230086
Z923;A23;Opplysning om tidligere strålebehandling;A;1;A230087
Z913;A23;Opplysning om tidligere uheldig døgnrytme;A;1;A230088
Z924;A23;Opplysning om tidligere utført større operasjon ikke klassifisert annet sted;A;1;A230089
Z841;A23;Opplysning om tilstand i nyre eller urinleder i familieanamnesen;A;1;A230090
Z812;A23;Opplysning om tobakksmisbruk i familieanamnesen;A;1;A230091
Z929;A23;Opplysning om uspesifisert tidligere medisinsk behandling;A;1;A230092
Z876;A23;Opplysning om visse tilstander som oppstår i perinatalperioden i egen sykehistorie;A;1;A230093
Z835;A23;Opplysning om øye- eller øresykdom i familieanamnesen;A;1;A230094
Z732;A23;Problem i forbindelse med mangel på avslapning eller fritid;A;1;A230095
Z711;A25;Engstelig for døden;A;1;A250000
Z711;A26;Engstelig for kreft IKA;A;1;A260000
Z711;A27;Engstelig for sykdom IKA;A;1;A270000
Z711;A27;Engstelig for helseskade;A;1;A270001
Z711;A27;Engstelig for smitte;A;1;A270002
Z736;A28;Redusert funksjonsevne IKA;A;1;A280000
Z990;A28;Behov for aspirator/sug;A;1;A280001
Z998;A28;Behov for forstøverapparat;A;1;A280002
Z742;A28;Behov for hjelp i hjemmet;A;1;A280003
Z741;A28;Behov for hjelp til ADL aktiviteter;A;1;A280004
Z748;A28;Behov for hjelp til medisinering;A;1;A280005
Z743;A28;Behov for institusjonsplass;A;1;A280006
Z742;A28;Behov for pleie-/omsorgstilbud;A;1;A280007
Z749;A28;Behov for pleiepersonale INA;A;1;A280008
Z993;A28;Behov for rullestol;A;1;A280009
Z998;A28;Behov for surstoffapparat;A;1;A280010
Z740;A28;Behov for syketransport;A;1;A280011
Z998;A28;Behov for teknisk hjelpemiddel IKA;A;1;A280012
Z999;A28;Behov for teknisk hjelpemiddel INA;A;1;A280013
Z743;A28;Behov for tilsyn døgnkontinuerlig;A;1;A280014
Z736;A28;Funksjonshemning INA;A;1;A280015
Z994;A28;Avhengighet av kunstig hjerte;A;1;A280016
R688;A29;Generelle symptomer/plager IKA;A;1;A290000
R400;A29;Døsighet;A;1;A290001
R688;A29;Falle/klappe sammen INA;A;1;A290002
R688;A29;Falle/klappe sammen;A;1;A290003
R680;A29;Hypotermi IKA;A;1;A290004
R688;A29;Smerte uspesifiserbar;A;1;A290005
R688;A29;Sykdomsfølelse uspesifisert;A;1;A290007
R688;A29;Symptomer uspesifiserbare;A;1;A290008
A169;A70;Tuberkulose;A;2;A700000
B909;A70;Følgetilstand etter tuberkulose;A;2;A700001
B909;A70;Følgetilstand tuberkulose;A;2;A700002
A153;A70;Lungetuberkulose;A;2;A700003
A184;A70;Lupus vulgaris;A;2;A700004
A199;A70;Miliærtuberkulose;A;2;A700005
A181;A70;Nyretuberkulose;A;2;A700006
A180;A70;Tuberkulose i ben og ledd;A;2;A700007
A159;A70;Tuberkulose i luftveier INA;A;2;A700008
A179;A70;Tuberkulose i nervesystemet INA;A;2;A700009
A190;A70;Akutt miliærtuberkulose i én enkelt spesifisert lokalisasjon;A;2;A700010
A191;A70;Akutt miliærtuberkulose i flere lokalisasjoner;A;2;A700011
A192;A70;Akutt miliærtuberkulose i uspesifisert lokalisasjon;A;2;A700012
A198;A70;Annen spesifisert miliærtuberkulose;A;2;A700013
A178;A70;Annen spesifisert tuberkulose i nervesystemet;A;2;A700014
B908;A70;Følgetilstand etter tuberkulose i annet spesifisert organ;A;2;A700015
B902;A70;Følgetilstand etter tuberkulose i ben eller ledd;A;2;A700016
B901;A70;Følgetilstand etter tuberkulose i kjønnsorganer eller urinveier;A;2;A700017
B900;A70;Følgetilstand etter tuberkulose i sentralnervesystemet;A;2;A700018
A152;A70;Histologisk bekreftet lungetuberkulose;A;2;A700019
A150;A70;Lungetuberkulose bekreftet ved mikroskopi av sputum med eller uten kultur;A;2;A700020
A160;A70;Lungetuberkulose som bakteriologisk og histologisk er negativ;A;2;A700021
A151;A70;Lungetuberkulose som kun er bekreftet ved kultur;A;2;A700022
A162;A70;Lungetuberkulose uten nevnt bakteriologisk eller histologisk bekreftelse;A;2;A700023
A161;A70;Lungetuberkulose uten utført bakteriologisk eller histologisk undersøkelse;A;2;A700024
A171;A70;Meningealt tuberkulom;A;2;A700025
A157;A70;Primær tuberkulose i åndedrettsorgan som er bekreftet bakteriologisk eller histologisk;A;2;A700026
A167;A70;Primær tuberkulose i åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse;A;2;A700027
A188;A70;Tuberkulose i annet spesifisert organ;A;2;A700028
A158;A70;Tuberkulose i annet spesifisert åndedrettsorgan som er bekreftet bakteriologisk eller histologisk;A;2;A700029
A168;A70;Tuberkulose i annet spesifisert åndedrettsorgan, uten nevnt bakteriologisk eller histologisk bekreftelse;A;2;A700030
A187;A70;Tuberkulose i binyre;A;2;A700031
A154;A70;Tuberkulose i intratorakal lymfeknute som er bekreftet bakteriologisk eller histologisk;A;2;A700032
A163;A70;Tuberkulose i intratorakal lymfeknute, uten nevnt bakteriologisk eller histologisk bekreftelse;A;2;A700033
A155;A70;Tuberkulose i strupehode, glottis, luftrør eller bronkie som er bekreftet bakteriologisk eller histologisk;A;2;A700034
A164;A70;Tuberkulose i strupehode, luftrør eller bronkie, uten nevnt bakteriologisk eller histologisk bekreftelse;A;2;A700035
A183;A70;Tuberkulose i tarm, bukhinne eller lymfeknute i mesenterium;A;2;A700036
A186;A70;Tuberkulose i øre;A;2;A700037
A185;A70;Tuberkulose i øye;A;2;A700038
N741;A70;Tuberkuløs infeksjon i kvinnelig bekkenorgan;A;2;A700039
N740;A70;Tuberkuløs infeksjon i livmorhals;A;2;A700040
A170;A70;Tuberkuløs meningitt;A;2;A700041
A156;A70;Tuberkuløs pleuritt som er bekreftet bakteriologisk eller histologisk;A;2;A700042
A165;A70;Tuberkuløs pleuritt uten nevnt bakteriologisk eller histologisk bekreftelse;A;2;A700043
A182;A70;Tuberkuløs sykdom i perifer lymfeknute;A;2;A700044
B059;A71;Meslinger;A;2;A710000
B058;A71;Meslinger med komplikasjoner;A;2;A710001
B059;A71;Morbilli;A;2;A710002
B050;A71;Meslinger med encefalitt som komplikasjon;A;2;A710003
B054;A71;Meslinger med intestinal komplikasjon;A;2;A710004
B053;A71;Meslinger med mellomørebetennelse som komplikasjon;A;2;A710005
B051;A71;Meslinger med meningitt som komplikasjon;A;2;A710006
B052;A71;Meslinger med pneumoni som komplikasjon;A;2;A710007
B019;A72;Vannkopper;A;2;A720000
B018;A72;Vannkopper med komplikasjoner;A;2;A720001
B019;A72;Varicella;A;2;A720002
B011;A72;Varicellaencefalitt;A;2;A720003
B010;A72;Varicellameningitt;A;2;A720004
B012;A72;Varicellapneumoni;A;2;A720005
B54;A73;Malaria;A;2;A730000
B508;A73;Annen spesifisert alvorlig eller komplisert malaria som skyldes Plasmodium falciparum;A;2;A730001
B538;A73;Annen spesifisert parasittologisk bekreftet malaria, ikke klassifisert annet sted;A;2;A730002
B531;A73;Apeplasmodiamalaria;A;2;A730003
B500;A73;Malaria som skyldes Plasmodium falciparum, med hjernekomplikasjoner;A;2;A730004
B528;A73;Malaria som skyldes Plasmodium malariae, med annen komplikasjon;A;2;A730005
B520;A73;Malaria som skyldes Plasmodium malariae, med nefropati;A;2;A730006
B529;A73;Malaria som skyldes Plasmodium malariae, uten komplikasjoner;A;2;A730007
B530;A73;Malaria som skyldes Plasmodium ovale;A;2;A730008
B518;A73;Malaria som skyldes Plasmodium vivax, med annen komplikasjon;A;2;A730009
B510;A73;Malaria som skyldes Plasmodium vivax, med miltruptur;A;2;A730010
B519;A73;Malaria som skyldes Plasmodium vivax, uten komplikasjoner;A;2;A730011
B509;A73;Uspesifisert malaria som skyldes Plasmodium falciparum;A;2;A730012
B069;A74;Røde hunder;A;2;A740000
B069;A74;Rubella;A;2;A740001
B068;A74;Røde hunder med komplikasjoner;A;2;A740002
B060;A74;Rubella med nevrologisk komplikasjon;A;2;A740003
B279;A75;Mononukleose;A;2;A750000
B279;A75;Kjertelfeber;A;2;A750001
B279;A75;Kyssesyke;A;2;A750002
B278;A75;Annen spesifisert mononukleose;A;2;A750003
B271;A75;Cytomegalovirusmononukleose;A;2;A750004
B270;A75;Gammaherpesvirusmononukleose;A;2;A750005
B09;A76;Virussykdom med utslett IKA;A;2;A760000
B082;A76;Roseola infantum;A;2;A760001
B082;A76;Sjette barnesykdom;A;2;A760002
B09;A76;Viruseksantem INA;A;2;A760003
B09;A76;Virusenantem INA;A;2;A760004
A880;A76;Enteroviral exanthema;A;2;A760006
B083;A76;Erythema infectiosum /Femte barnesykdom;A;2;A760007
B083;A76;Erythema infectiosum;A;2;A760008
B082;A76;Exanthema subitum;A;2;A760009
B09;A76;Feber med utslett INA;A;2;A760010
B09;A76;Feber med utslett;A;2;A760011
B083;A76;Femte barnesykdom;A;2;A760012
B084;A76;HMF (hand, mouth and foot disease);A;2;A760013
B084;A76;Hånd-munn-og-fot-syke;A;2;A760014
B03;A76;Kopper;A;2;A760015
B080;A76;Kukopper;A;2;A760016
B088;A76;Munn- og klovsyke;A;2;A760017
B080;A76;Orfvirussykdom;A;2;A760018
B080;A76;Orthopoxvirusinfeksjon IKA;A;2;A760019
B080;A76;Pseudokukopper;A;2;A760020
B04;A76;Apekopper;A;2;A760021
B349;A77;Virussykdom IKA;A;2;A770000
B340;A77;Adenovirusinfeksjon;A;2;A770001
B330;A77;Bornholm-syke;A;2;A770002
B341;A77;Coxsackievirusinfeksjon;A;2;A770003
B341;A77;Coxsackievirusinfeksjoner;A;2;A770004
B259;A77;Cytomegalovirusinfeksjon;A;2;A770005
A979;A77;Denguefeber;A;2;A770006
B341;A77;Enterovirusinfeksjon;A;2;A770007
B330;A77;Epidemisk myalgi;A;2;A770008
A959;A77;Gulfeber;A;2;A770009
A99;A77;Hemoragisk feber;A;2;A770010
B007;A77;Herpesvirussepsis;A;2;A770011
B330;A77;Myalgia epidemica;A;2;A770012
A985;A77;Nephropatia epidemica;A;2;A770013
A829;A77;Rabies;A;2;A770014
B331;A77;Ross River-feber;A;2;A770015
B331;A77;Ross River-sykdom;A;2;A770016
A94;A77;Virussykdom antropodeoverført;A;2;A770017
A929;A77;Virussykdom myggoverført;A;2;A770018
B349;A77;Virussykdom uten utslett IKA;A;2;A770019
B970;A77;Adenovirus som årsak til sykdom klassifisert i annet kapittel;A;2;A770020
A972;A77;Alvorlig dengue;A;2;A770021
B258;A77;Annen spesifisert cytomegalovirussykdom;A;2;A770022
A968;A77;Annen spesifisert hemoragisk arenavirussykdom;A;2;A770023
A988;A77;Annen spesifisert hemoragisk virussykdom;A;2;A770024
B338;A77;Annen spesifisert virussykdom;A;2;A770025
A938;A77;Annen spesifisert virussykdom overført ved artropode;A;2;A770026
A928;A77;Annen spesifisert virussykdom overført ved mygg;A;2;A770027
B348;A77;Annen virusinfeksjon med uspesifisert lokalisasjon;A;2;A770028
B978;A77;Annet spesifisert virus som årsak til sykdom klassifisert i annet kapittel;A;2;A770029
A920;A77;Chikungunyavirussykdom;A;2;A770030
A932;A77;Coloradoflåttfeber;A;2;A770031
B972;A77;Coronavirus som årsak til sykdom klassifisert i annet kapittel;A;2;A770032
B342;A77;Coronavirusinfeksjon med uspesifisert lokalisasjon;A;2;A770033
B251;A77;Cytomegalovirushepatitt;A;2;A770034
B252;A77;Cytomegaloviruspankreatitt;A;2;A770035
B250;A77;Cytomegaloviruspneumonitt;A;2;A770036
A971;A77;Dengue med varselstegn;A;2;A770037
A970;A77;Dengue uten varselstegn;A;2;A770038
A984;A77;Ebola-virussykdom;A;2;A770039
B971;A77;Enterovirus som årsak til sykdom klassifisert i annet kapittel;A;2;A770040
B334;A77;Hantavirus (kardio)-pulmonalt syndrom;A;2;A770041
A960;A77;Hemoragisk juninvirussykdom;A;2;A770042
A980;A77;Hemoragisk krimfeber som skyldes Congo-CHF-virus;A;2;A770043
A961;A77;Hemoragisk machupovirussykdom;A;2;A770044
A981;A77;Hemoragisk Omsk-feber;A;2;A770045
A982;A77;Kyasanur Forest-sykdom;A;2;A770046
A962;A77;Lassafeber;A;2;A770047
A983;A77;Marburg-virussykdom;A;2;A770048
A921;A77;O'nyong-nyongfeber;A;2;A770049
A930;A77;Oropouchevirussykdom;A;2;A770050
B977;A77;Papillomavirus som årsak til sykdom klassifisert i annet kapittel;A;2;A770051
B344;A77;Papovavirusinfeksjon med uspesifisert lokalisasjon;A;2;A770052
B976;A77;Parvovirus som årsak til sykdom klassifisert i annet kapittel;A;2;A770053
B343;A77;Parvovirusinfeksjon med uspesifisert lokalisasjon;A;2;A770054
B975;A77;Reovirus som årsak til sykdom klassifisert i annet kapittel;A;2;A770055
B974;A77;Respiratorisk syncytialt virus som årsak til sykdom klassifisert i annet kapittel;A;2;A770056
B973;A77;Retrovirus som årsak til sykdom klassifisert i annet kapittel;A;2;A770057
B333;A77;Retrovirusinfeksjon ikke klassifisert annet sted;A;2;A770058
A924;A77;Rift Valley-feber;A;2;A770059
A931;A77;Sandfluefeber;A;2;A770060
A950;A77;Sylvatisk gulfeber;A;2;A770061
A820;A77;Sylvatisk rabies;A;2;A770062
A951;A77;Urban gulfeber;A;2;A770063
A821;A77;Urban rabies;A;2;A770064
A969;A77;Uspesifisert hemoragisk arenavirussykdom;A;2;A770065
A922;A77;Venezuelansk hestefeber;A;2;A770066
A923;A77;West Nile-virusinfeksjon;A;2;A770067
B99;A78;Infeksjonssykdom IKA;A;2;A780000
A429;A78;Aktinomykose;A;2;A780001
A229;A78;Anthrax;A;2;A780002
A499;A78;Bakterieinfeksjon uspesifisert;A;2;A780003
A289;A78;Bakteriell zoonose;A;2;A780004
A449;A78;Bartonellose;A;2;A780005
A391;A78;Binyresyndrom med meningokokker;A;2;A780006
B409;A78;Blastomykose;A;2;A780007
A692;A78;Borreliose;A;2;A780008
A239;A78;Brucellose;A;2;A780009
B378;A78;Candidaenteritt;A;2;A780010
B378;A78;Candidainfeksjon endetarm;A;2;A780011
B379;A78;Candidainfeksjon INA;A;2;A780012
